id_stacji,stacja,data_pomiaru,godzina_pomiaru,temperatura,predkosc_wiatru,kierunek_wiatru,wilgotnosc_wzgledna,suma_opadu,cisnienie
12295,Białystok,2025-03-25,19,2.7,1,180,82.9,1.2,1016.9
12600,Bielsko Biała,2025-03-25,19,7,2,150,62.6,6.5,1018.6
12235,Chojnice,2025-03-25,19,10.6,2,310,64.7,0,1015.4
12550,Częstochowa,2025-03-25,19,8.7,1,110,50.6,0.01,1018
12160,Elbląg,2025-03-25,19,9.6,4,190,48.6,0,1014.4
12155,Gdańsk,2025-03-25,19,9.3,3,310,65.8,0,1014.3
12300,Gorzów,2025-03-25,19,11.1,3,330,63.5,0,1016.7
12135,Hel,2025-03-25,19,7.4,1,330,76.6,0,1014.7
12500,Jelenia Góra,2025-03-25,19,7.4,0,0,82.8,0,1018
12435,Kalisz,2025-03-25,19,9.9,2,150,70.8,0.01,1017
12650,Kasprowy Wierch,2025-03-25,19,-1.5,3,250,100.0,2.2,
12560,Katowice,2025-03-25,19,5.9,0,0,72.6,0.01,1018.3
12185,Kętrzyn,2025-03-25,19,7.8,2,180,61.8,0,1015.3
12570,Kielce,2025-03-25,19,3.2,1,70,86.0,0.1,1019.1
12520,Kłodzko,2025-03-25,19,9.7,1,190,75.9,0.01,1017.8
12345,Koło,2025-03-25,19,8.5,3,190,71.5,0.01,1016.7
12100,Kołobrzeg,2025-03-25,19,6.4,4,210,86.9,0,1015.9
12105,Koszalin,2025-03-25,19,5.3,2,220,90.0,0,1016.1
12488,Kozienice,2025-03-25,19,3.1,1,210,91.8,0.3,1018.3
12566,Kraków,2025-03-25,19,7.5,1,350,73.9,2,1018.6
12670,Krosno,2025-03-25,19,6.7,1,120,81.0,2,1019.2
12415,Legnica,2025-03-25,19,9.1,1,250,78.0,0,1017.3
12690,Lesko,2025-03-25,19,5.6,1,90,85.0,1.2,1019.8
12418,Leszno,2025-03-25,19,11.4,2,200,67.7,0,1016.4
12125,Lębork,2025-03-25,19,6.1,,,83.9,0,1015.4
12495,Lublin,2025-03-25,19,3.5,1,190,78.8,0.1,1019
12120,Łeba,2025-03-25,19,6.4,7,260,83.9,0,1015.1
12465,Łódź,2025-03-25,19,3.9,1,120,78.9,0.01,1018
12280,Mikołajki,2025-03-25,19,5.2,2,220,69.9,0,1015.9
12270,Mława,2025-03-25,19,5.1,1,180,56.8,0,1016.5
12660,Nowy Sącz,2025-03-25,19,6.5,1,190,90.0,22.1,1019.4
12272,Olsztyn,2025-03-25,19,5.3,1,180,57.7,0,1015.6
12530,Opole,2025-03-25,19,7.1,1,100,82.8,0,1017.5
12285,Ostrołęka,2025-03-25,19,4.3,2,220,77.8,0.1,1016.5
12230,Piła,2025-03-25,19,10.3,1,280,66.5,0,1015.7
12001,Platforma,2025-03-25,19,,10,240,,0,
12360,Płock,2025-03-25,19,8.4,2,210,69.5,0.01,1016.5
12330,Poznań,2025-03-25,19,10.4,0,0,62.9,0,1016
12695,Przemyśl,2025-03-25,19,7.7,2,220,71.9,1,1019
12540,Racibórz,2025-03-25,19,8.4,1,180,80.6,0.01,1017.8
12210,Resko,2025-03-25,19,5.9,2,260,85.6,0,1016.6
12580,Rzeszów,2025-03-25,19,5.5,1,220,78.6,5.4,1019
12585,Sandomierz,2025-03-25,19,7.6,2,90,58.7,0,1018.5
12385,Siedlce,2025-03-25,19,5.9,2,190,71.6,3.1,1017.7
12310,Słubice,2025-03-25,19,8.8,2,310,77.9,0.01,1017.5
12469,Sulejów,2025-03-25,19,5.1,1,150,86.8,0.5,1018.2
12195,Suwałki,2025-03-25,19,3.3,1,170,80.0,0,1016.2
12205,Szczecin,2025-03-25,19,7.5,3,270,75.6,0,1017
12215,Szczecinek,2025-03-25,19,7.7,1,99,80.0,0,1015.9
12510,Śnieżka,2025-03-25,19,1.3,4,270,82.1,0,
12200,Świnoujście,2025-03-25,19,7.1,4,230,78.8,0,1016.4
12575,Tarnów,2025-03-25,19,6.5,2,160,82.7,0.01,1018.5
12399,Terespol,2025-03-25,19,4,2,150,86.7,0.1,1018.2
12250,Toruń,2025-03-25,19,9,2,190,64.8,0,1015.7
12115,Ustka,2025-03-25,19,5.7,4,220,88.1,0,1015.3
12375,Warszawa,2025-03-25,19,6.8,1,190,69.7,0.01,1017.2
12455,Wieluń,2025-03-25,19,5.9,2,140,85.0,0.01,1017.9
12497,Włodawa,2025-03-25,19,2.7,2,190,93.1,0.5,1018.9
12424,Wrocław,2025-03-25,19,9.7,1,270,68.8,0,1017.1
12625,Zakopane,2025-03-25,19,5.7,1,140,88.7,4.4,
12595,Zamość,2025-03-25,19,2.9,2,210,89.1,0.2,1019.6
12400,Zielona Góra,2025-03-25,19,10.7,3,290,74.0,0,1016.9
